uniname,zipcode,branch,branchdtl,school,schooldtl,address
한신대학교,18101,본교,본교(제1캠퍼스),4년제,대학교,경기도 오산시 한신대길 137 
한양대학교,4763,본교,본교(제1캠퍼스),4년제,대학교,서울특별시 성동구 왕십리로 222 
한양대학교,15588,분교,분교(제1캠퍼스),4년제,대학교,경기도 안산시 상록구 한양대학로 55 
한일장신대학교,55359,본교,본교(제1캠퍼스),4년제,대학교,전라북도 완주군 상관면 왜목로 726-15 
협성대학교,18330,본교,본교(제1캠퍼스),4년제,대학교,경기도 화성시 봉담읍 최루백로 72 
호남대학교,62399,본교,본교(제1캠퍼스),4년제,대학교,광주광역시 광산구 호남대길 120 
호남신학대학교,61642,본교,본교(제1캠퍼스),4년제,대학교,광주광역시 남구 제중로 77 
호서대학교,31702,캠퍼스,본교(제3캠퍼스),4년제,대학교,충남 당진시 석문면 산단7로 201
호서대학교,31499,본교,본교(제1캠퍼스),4년제,대학교,충청남도 아산시 배방읍 호서로79번길 20 
호서대학교,31066,캠퍼스,본교(제2캠퍼스),4년제,대학교,충남 천안시 동남구 호서대길 12
홍익대학교,4066,본교,본교(제1캠퍼스),4년제,대학교,서울특별시 마포구 와우산로 94 
홍익대학교,30016,캠퍼스,본교(제2캠퍼스),4년제,대학교,세종특별자치시 조치원읍 세종로 2639 
화성의과학대학교,18274,본교,본교(제1캠퍼스),4년제,대학교,경기도 화성시 남양읍 남양중앙로 400-5 
