Jrank	uniname	source	mydate
1	서울대학교	중앙일보	2016.10.17
2	한양대	중앙일보	2016.10.17
3	성균관대학교	중앙일보	2016.10.17
4	연세대	중앙일보	2016.10.17
5	고려대	중앙일보	2016.10.17
6	이화여자대학교	중앙일보	2016.10.17
7	중앙대학교	중앙일보	2016.10.17
8	경희대학교	중앙일보	2016.10.17
8	한양대	중앙일보	2016.10.17
10	인하대학교	중앙일보	2016.10.17
10	한국외대학교	중앙일보	2016.10.17
12	서강대학교	중앙일보	2016.10.17
13	서울시립대학교	중앙일보	2016.10.17
13	아주대학교	중앙일보	2016.10.17
15	건국대	중앙일보	2016.10.17
16	부산대학교	중앙일보	2016.10.17
17	경북대학교	중앙일보	2016.10.17
17	동국대	중앙일보	2016.10.17
19	전남대학교	중앙일보	2016.10.17
19	전북대학교	중앙일보	2016.10.17
21	국민대학교	중앙일보	2016.10.17
22	충북대학교	중앙일보	2016.10.17
23	서울과학기술대학교	중앙일보	2016.10.17
23	충남대학교	중앙일보	2016.10.17
23	상명대	중앙일보	2016.10.17
26	울산대학교	중앙일보	2016.10.17
26	영남대학교	중앙일보	2016.10.17
28	숙명여자대학교	중앙일보	2016.10.17
29	가톨릭대학교	중앙일보	2016.10.17
30	홍익대학교	중앙일보	2016.10.17
1	서울대학교	중앙일보	2017.10.17
2	성균관대학교	중앙일보	2017.10.17
3	한양대	중앙일보	2017.10.17
4	고려대	중앙일보	2017.10.17
5	연세대	중앙일보	2017.10.17
6	서강대학교	중앙일보	2017.10.17
7	중앙대학교	중앙일보	2017.10.17
8	인하대학교	중앙일보	2017.10.17
9	한양대	중앙일보	2017.10.17
10	경희대학교	중앙일보	2017.10.17
10	이화여자대학교	중앙일보	2017.10.17
12	아주대학교	중앙일보	2017.10.17
13	서울시립대학교	중앙일보	2017.10.17
13	한국외대학교	중앙일보	2017.10.17
15	건국대	중앙일보	2017.10.17
16	부산대학교	중앙일보	2017.10.17
17	동국대	중앙일보	2017.10.17
18	전남대학교	중앙일보	2017.10.17
19	경북대학교	중앙일보	2017.10.17
19	국민대학교	중앙일보	2017.10.17
1	서울대학교	중앙일보	2018.10.29
2	성균관대학교	중앙일보	2018.10.29
3	한양대학교	중앙일보	2018.10.29
4	고려대학교	중앙일보	2018.10.29
4	연세대학교	중앙일보	2018.10.29
6	경희대학교	중앙일보	2018.10.29
7	서강대학교	중앙일보	2018.10.29
8	이화여자대학교	중앙일보	2018.10.29
9	한양대	중앙일보	2018.10.29
10	중앙대학교	중앙일보	2018.10.29
11	아주대학교	중앙일보	2018.10.29
11	인하대학교	중앙일보	2018.10.29
13	한국외국어대학교	중앙일보	2018.10.29
14	서울시립대학교	중앙일보	2018.10.29
15	건국대	중앙일보	2018.10.29
16	부산대학교	중앙일보	2018.10.29
17	동국대	중앙일보	2018.10.29
18	국민대학교	중앙일보	2018.10.29
19	서울과학기술대학교	중앙일보	2018.10.29
20	숙명여자대학교	중앙일보	2018.10.29
1	서울대학교	중앙선데이	2019.11.16
2	성균관대학교	중앙선데이	2019.11.16
3	한양대	중앙선데이	2019.11.16
4	연세대	중앙선데이	2019.11.16
5	고려대	중앙선데이	2019.11.16
6	경희대학교	중앙선데이	2019.11.16
7	중앙대학교	중앙선데이	2019.11.16
8	서강대학교	중앙선데이	2019.11.16
8	이화여자대학교	중앙선데이	2019.11.16
10	한양대	중앙선데이	2019.11.16
11	아주대학교	중앙선데이	2019.11.16
12	서울시립대학교	중앙선데이	2019.11.16
13	한국외국어대학교	중앙선데이	2019.11.16
14	건국대	중앙선데이	2019.11.16
15	인하대학교	중앙선데이	2019.11.16
16	국민대학교	중앙선데이	2019.11.16
17	동국대	중앙선데이	2019.11.16
18	부산대학교	중앙선데이	2019.11.16
19	숙명여자대학교	중앙선데이	2019.11.16
20	전북대학교	중앙선데이	2019.11.16
21	서울과학기술대학교	중앙선데이	2019.11.16
22	세종대학교	중앙선데이	2019.11.16
23	경북대학교	중앙선데이	2019.11.16
24	인천대학교	중앙선데이	2019.11.16
25	전남대학교	중앙선데이	2019.11.16
26	충남대학교	중앙선데이	2019.11.16
27	홍익대학교	중앙선데이	2019.11.16
28	충북대학교	중앙선데이	2019.11.16
29	가천대학교	중앙선데이	2019.11.16
29	가톨릭대학교	중앙선데이	2019.11.16
