unicode,uniname,branch,address,latitude,longitude,distance
0000209,호남신학대학교,본교,광주광역시 남구 제중로 77,35.1404125,126.9114762,267.59941231719733
0000211,호서대학교,본교,충청남도 아산시 배방읍 호서로79번길 20,36.7363588,127.0750254,90.7561156498742
0000212,홍익대학교,본교,서울특별시 마포구 와우산로 94,37.5512242,126.9255396,5.5393776692092835
0000215,가톨릭꽃동네대학교,본교,충청북도 청주시 서원구 현도면 상삼길 133,36.5221196,127.4011946,119.96650536729842
0000216,남부대학교,본교,광주광역시 광산구 남부대길 1,35.2070609,126.8422582,260.4459443434781
0000218,예원예술대학교,본교,전라북도 임실군 신평면 창인로 117,35.6467719,127.2703758,212.83350863173135
0000219,예원예술대학교,제2캠퍼스,경기도 양주시 은현면 예원대학로 56,37.8466684,127.0374987,33.08430545444706
0000221,목포가톨릭대학교,본교,전라남도 목포시 영산로 697,34.8268917,126.4195875,306.5873030531912
0000222,부산장신대학교,본교,경상남도 김해시 김해대로 1894-68,35.2577406,128.8615246,304.9469789347054
0000224,금강대학교,본교,충청남도 논산시 상월면 상월로 522,36.3058031,127.1955110,139.43443036529902
0000228,예수대학교,본교,전라북도 전주시 완산구 서원로 383,35.8155750,127.1351375,193.04888099900634
0000231,광주대학교,본교,광주광역시 남구 효덕로 277,35.1072019,126.8960122,271.32152828236485
0000233,화성의과학대학교,본교,경기도 화성시 남양읍 남양중앙로 400-5,37.2027514,126.8395132,40.850755785703114
0000235,동명대학교,본교,부산광역시 남구 신선로 428,35.1220654,129.1016625,329.60826674682016
0000236,영산대학교,본교,경상남도 양산시 주남로 288,35.4286096,129.1461250,304.7132665559838
0000237,영산대학교,제2캠퍼스,부산광역시 해운대구 반송순환로 142,35.2239338,129.1574820,323.34881671696763
0000238,대전신학대학교,본교,대전광역시 대덕구 한남로 41,36.3495481,127.4240159,138.88568728136642
0000239,중원대학교,본교,충청북도 괴산군 괴산읍 문무로 85,36.8195441,127.7991125,108.52208993884935
0000240,우송대학교,본교,대전광역시 동구 동대전로 171,36.3375527,127.4453669,140.7035853410433
0000241,김천대학교,본교,경상북도 김천시 대학로 214,36.1395578,128.0805228,184.47275470324686
0000243,송원대학교,본교,광주광역시 남구 송암로 73,35.1091923,126.8740705,271.168098307669
0000244,경운대학교,본교,경상북도 구미시 산동면 강동로 730,36.1678660,128.4676331,202.40524109414602
0000245,남서울대학교,본교,충청남도 천안시 서북구 성환읍 대학로 91,36.9095318,127.1447235,72.55173620081385
0000246,초당대학교,본교,전라남도 무안군 무안읍 무안로 380,34.9776261,126.4735349,289.29007765198264
0000247,한국공학대학교,본교,경기도 시흥시 산기대학로 237,37.3400342,126.7335061,32.514025874503766
0000248,제주국제대학교,본교,제주특별자치도 제주시 516로 2870,33.4404296,126.5703877,457.65720099415705
0000249,창신대학교,본교,경상남도 창원시 마산회원구 팔용로 262,35.2442062,128.5996750,293.97900940765226
0000250,울산과학기술원,본교,울산광역시 울주군 언양읍 유니스트길 50,35.5749100,129.1892066,294.7925893087405
0000251,공주교육대학교,본교,충청남도 공주시 웅진로 27,36.4448772,127.1192530,123.32631759516525
0000252,광주교육대학교,본교,광주광역시 북구 필문대로 55,35.1647158,126.9269527,264.8715274212878
0000253,대구교육대학교,본교,대구광역시 남구 중앙대로 219,35.8530252,128.5889174,236.57213184422864
0000254,부산교육대학교,본교,부산광역시 연제구 교대로 24,35.1964877,129.0741436,321.39556700601224
0000255,서울교육대학교,본교,서울특별시 서초구 서초중앙로 96,37.4903779,127.0168607,7.206237532816934
0000256,경인교육대학교,본교,인천광역시 계양구 계산로 62,37.5382510,126.7170352,24.00878936158043
