cname; iso2; iso3; year; pv6t1; pv6t2; pv6t3; pv6t4; pv6t5; pv6t6; pv6t7; pv6t8; pv6t9;
Germany; de; deu; 1987; .2399561005942964; .1661605818496035; .1007679711596809; .0925919523233263; .1102166399140592; .0609274021876692; .1350808911975282; .0851644610969165; .0091339996769197;
Germany; de; deu; 1988; .2386631749379233; .1727358065393174; .1005199440130234; .0938293655283094; .1070477569390328; .0559486247203507; .148518090790402; .0714424198726678; .0112948166589733;
Germany; de; deu; 1989; .2483091832187804; .1908418523696025; .0935644632819112; .0940284667845738; .1092945156194772; .0512138289753666; .1473326548441783; .0576184972343139; .0077965376717959;
Germany; de; deu; 1990; .2484657160307267; .1846152888167162; .0904676915623396; .0906965350090594; .1117495776169157; .0552751659546521; .1565944330961374; .057651826907227; .0044837650062259;
Germany; de; deu; 1991; .232644361433765; .1755156468591526; .0819068251499538; .1086489958721659; .1055257539264068; .0592098641343631; .1741927321819171; .0570220305199839; .0053337899222917;
Germany; de; deu; 1992; .2267103548847843; .1752357935588742; .0910962457215686; .1092703091313851; .1070210591579006; .0590535888508876; .1705490687484444; .0547411726220714; .0063224073240838;
Germany; de; deu; 1993; .2345342237002882; .1714259526720006; .0922244185889051; .1108149314352452; .0972459152465956; .0552367359650162; .174049392721486; .0587449473292369; .0057234823412263;
Germany; de; deu; 1994; .2225028328616181; .1786329088601559; .0930672319249816; .1122532158248904; .0839489811725262; .0614649335550142; .1701321611827401; .069389206602127; .0086085280159465;
Germany; de; deu; 1995; .2265022243963334; .1887689139646912; .0957708647130021; .1272186855608219; .0833942026714429; .0604327599219603; .1422754078371061; .0689771627804303; .0066597781542118;
Germany; de; deu; 1996; .2276070829051339; .1797238637623635; .0908867739853586; .1223537030753358; .0925187544506788; .0669147339197609; .1532618216957839; .0610078641418179; .0057254020637666;
Germany; de; deu; 1997; .2142370046679729; .1821661012100603; .0979715964774599; .1245295355554067; .0883264835887966; .0677625161192573; .1662330484315007; .0549206271668315; .003853086782714;
