cname; iso2; iso3; year; eminq0; eminq1; eminq2; eminq3; eminq4; eminq5;
Netherlands; nl; nld; 2020; 722760522113.9932; 5682201370.505849; 39353451478.28588; 107789772898.2685; 186032522741.7397; 383902573625.1933;
Netherlands; nl; nld; 2021; 762962479978.7826; 5155024039.990706; 42220176162.11758; 113582097705.4999; 199082823253.8598; 402922358817.3146;
Norway; no; nor; 1979; 218994828433.5645; -164886395.0439415; 17893757003.5498; 51652093179.54688; 62563783714.67578; 87050080930.83594;
Norway; no; nor; 1986; 525719661470.8316; 2180441126.373511; 44535385274.41109; 111134461539.6785; 141025780028.5123; 226843593501.8562;
Norway; no; nor; 1991; 704472954689.7875; 4765411835.30013; 55188574326.19271; 141499783777.8799; 187403249772.0789; 315615934978.3358;
Norway; no; nor; 1995; 782990526979.9446; 4155346967.776227; 43511069407.37955; 150773217058.4207; 223012031429.3233; 361538862117.0449;
Norway; no; nor; 2000; 1122008817881.304; 6319347254.83024; 70388185263.74394; 216183389563.5512; 292256730552.3033; 536861165246.8753;
Norway; no; nor; 2004; 1279450638443.166; 5299894287.299854; 68482806082.22973; 225645886807.7234; 330677850833.8134; 649344200432.0997;
Norway; no; nor; 2007; 1524410732745.293; 9408542443.261734; 92849213614.53125; 274467800273.75; 413788627396.5625; 733896549017.1875;
Norway; no; nor; 2010; 1795906728575.644; 8151561973.987223; 98762679019.75; 308770801816.2813; 486440641607.875; 893781044157.75;
Norway; no; nor; 2013; 2102231693285.72; 12169131543.77501; 124335810552.0547; 357429093042.4844; 566409539758.6563; 1041888118388.75;
Norway; no; nor; 2016; 2315945017766.303; 10290690617.7169; 124134024582.8359; 384612346436.625; 613423858667.6875; 1183484097461.438;
Norway; no; nor; 2019; 2615941335497.611; 13141263675.77509; 142098640260.8359; 433298132321.5; 689914182214.75; 1337489117024.75;
Norway; no; nor; 2020; 2637793960440.58; 12059610772.44693; 131731680414.6641; 427006736123.3125; 696079729626.0938; 1370916203504.063;
Norway; no; nor; 2021; 2935900232131.432; 13199642689.3455; 145069765518.5547; 454958094826.6563; 734912898218.875; 1587759830878;
Norway; no; nor; 2022; 3018606712940.589; 15482047348.05823; 162106009205.125; 491031864010.9688; 787075049960.6875; 1562911742415.75;
Paraguay; py; pry; 1997; 38473772459637.59; 1043434980796.094; 3034017597295.75; 4890566231994.25; 8140863874886.5; 21364889774665;
Paraguay; py; pry; 1999; 40014793473577.23; 1122585758733.609; 3216161825402.375; 5190249731974.25; 8452735101689; 22033061055778;
Paraguay; py; pry; 2000; 46858744759655.95; 1407836417279.693; 3716708151906.25; 5976104271571.5; 9871181089102.5; 25886914829796;
