cname; iso2; iso3; year; ehitotalq0; ehitotalq1; ehitotalq2; ehitotalq3; ehitotalq4; ehitotalq5;
Ireland; ie; irl; 2002; 106519841655.976; 5090728053.252022; 8875275641.048876; 19270106996.03189; 28394184811.18905; 44889546154.45413;
Ireland; ie; irl; 2003; 117887474817.4968; 6690211002.519227; 8042162130.688336; 20064051578.46215; 29913064110.01993; 53177985995.80716;
Ireland; ie; irl; 2004; 124025604430.4786; 8001402660.413509; 8316618468.25146; 20754074640.02031; 31088214797.98396; 55865293863.80936;
Ireland; ie; irl; 2005; 137099565298.9505; 8072854711.280158; 10547142683.90517; 22002412762.00066; 34590049673.11867; 61887105468.64588;
Ireland; ie; irl; 2006; 154490446554.1767; 7817952244.038121; 14119179787.84243; 24338332645.21411; 39256507764.07717; 68958474113.00485;
Ireland; ie; irl; 2007; 159650346356.306; 9624011537.760317; 14662590949.75653; 26877290108.9965; 38110381244.22034; 70376072515.57234;
Ireland; ie; irl; 2008; 152448508225.6535; 13069947442.18326; 11159014888.7557; 24183922206.24936; 36258637101.26344; 67776986587.20176;
Ireland; ie; irl; 2009; 146498868283.5689; 15071886157.15956; 8209522544.364712; 21869136360.95701; 33862306997.89239; 67486016223.19524;
Ireland; ie; irl; 2010; 141955931283.9323; 14560866910.99407; 8066419126.585859; 22123693506.87089; 34755038527.75265; 62449913211.72888;
Ireland; ie; irl; 2011; 143499749278.1508; 14313108666.18913; 8380768997.681414; 21851362791.80424; 35269434699.10727; 63685074123.36873;
Ireland; ie; irl; 2012; 149837664724.0916; 15260391868.95407; 8231858120.701867; 21656334495.41348; 36207556414.41663; 68481523824.60555;
Ireland; ie; irl; 2013; 154988965656.1659; 14842809969.47062; 9514848907.086468; 23010331284.5721; 36606756294.74894; 71014219200.28773;
Ireland; ie; irl; 2014; 162898017873.547; 14452257880.65416; 10637889996.16291; 24958215721.244; 40081188618.15389; 72768465657.33205;
Ireland; ie; irl; 2015; 171930256133.0778; 13757740547.54646; 11662799899.9383; 26173378480.20501; 42815571525.47676; 77520765679.91127;
Ireland; ie; irl; 2016; 182483061911.8226; 12624826378.1544; 13394167539.92184; 28139856561.09285; 43811317209.20605; 84512894223.44749;
Ireland; ie; irl; 2017; 204399554120.1853; 13343866919.64351; 14688738782.54483; 31079252549.82402; 48076866465.96194; 97210829402.21104;
Ireland; ie; irl; 2018; 213100620104.6254; 13919874915.21949; 18648383447.59266; 32192464028.21981; 51421539719.49999; 96918357994.09349;
Ireland; ie; irl; 2019; 222957283604.5162; 13905865703.66002; 19772811682.05854; 35620744579.79286; 53640017590.089; 100017844048.9158;
Ireland; ie; irl; 2020; 234777540549.7271; 13689694491.50072; 20404679665.80175; 36963500362.58918; 56543775862.03161; 107175890167.8039;
Ireland; ie; irl; 2021; 251229065116.7007; 13937822940.01651; 21736940838.50697; 39597382953.39009; 60594239506.25135; 115362678878.5358;
Israel; il; isr; 1979; 61266987.90081975; 3095219.40455016; 8083839.646453329; 10678852.55776761; 15447253.68395966; 23961822.60808899;
Israel; il; isr; 1986; 46207911457.21742; 2733181812.292169; 5445758194.673528; 7540321346.25432; 10967163296.20443; 19521486807.79297;
Israel; il; isr; 1992; 158930704796.1992; 10076039307.95405; 17776332669.48756; 26054997477.34643; 38309447092.83115; 66713888248.57996;
Israel; il; isr; 1997; 362939382266.856; 18008732954.08125; 37673340956.80228; 59130935487.71197; 85089521128.19759; 163036851740.0629;
Israel; il; isr; 2001; 488817540160.314; 25933440883.52237; 47459281099.71095; 71734600787.57942; 113707116804.6963; 229983100584.805;
