cname; iso2; iso3; year; ehpublicq0; ehpublicq1; ehpublicq2; ehpublicq3; ehpublicq4; ehpublicq5;
Spain; es; esp; 1998; 0; 0; 0; 0; 0; 0;
Spain; es; esp; 1999; 0; 0; 0; 0; 0; 0;
Spain; es; esp; 2000; 0; 0; 0; 0; 0; 0;
Spain; es; esp; 2004; 123435753185.1288; 41123222917.70161; 38442008542.38297; 20032477206.56222; 13932024306.33514; 9895274751.438452;
Spain; es; esp; 2005; 131116536727.7961; 43751878084.63784; 40224651079.66158; 21847630370.17451; 14995607448.10743; 10296769745.21476;
Spain; es; esp; 2006; 145616817850.1927; 50215782405.67387; 45035195321.16296; 22785160677.71349; 16348128871.48944; 11232550574.15295;
Spain; es; esp; 2007; 172349654774.9366; 54205154892.99873; 45354046009.98246; 29816887653.61867; 22840820997.53278; 20132745220.80393;
Spain; es; esp; 2008; 196813188453.5759; 57644936379.77898; 53949567455.44856; 34820153240.59215; 28794959632.98073; 21603571744.77549;
Spain; es; esp; 2009; 221013872681.3829; 62114844216.77518; 61196067580.22592; 43389803266.32622; 29982705630.64983; 24330451987.40577;
Spain; es; esp; 2010; 226117600279.2477; 64546166545.59184; 63589300134.41431; 43898439996.39183; 30159533007.98803; 23924160594.86168;
Spain; es; esp; 2011; 230941992581.4276; 65021978262.10464; 64341477156.65522; 44553292401.89955; 33944412236.53029; 23080832524.2379;
Spain; es; esp; 2012; 248829578567.0257; 68838197446.28368; 69280264129.98172; 45903227497.48766; 35462236231.26636; 29345653262.00626;
Spain; es; esp; 2013; 250248780594.6347; 68594306593.13329; 67607835539.14321; 49263368400.93258; 35198001542.45274; 29585268518.97287;
Spain; es; esp; 2014; 240824435228.0388; 69281253732.34697; 67257089857.74875; 47907421446.22067; 31579890053.15456; 24798780138.56781;
Spain; es; esp; 2015; 240058369487.6521; 71427951445.3327; 70976533351.11819; 46042022657.82614; 28947642927.47541; 22664219105.89965;
Spain; es; esp; 2016; 238099791299.1122; 68357168525.97784; 73549359595.85365; 45951723978.64784; 29921757847.0518; 20319781351.58101;
Spain; es; esp; 2017; 242773091715.3076; 73756113366.745; 75340128989.28233; 43194569300.7379; 28475746467.91029; 22006533590.63205;
Spain; es; esp; 2018; 255697152859.0677; 79083257278.22929; 78348740861.25911; 46285995171.36492; 28725786665.21558; 23253372882.99878;
Spain; es; esp; 2019; 273673966765.8781; 85006074286.69559; 81055108634.96324; 51353179478.04991; 32710591258.21418; 23549013107.9552;
Spain; es; esp; 2020; 316051727304.3703; 87318457600.71243; 86001963164.61288; 63681101112.5671; 46458548844.01708; 32591656582.46082;
Spain; es; esp; 2021; 304647006938.2098; 91800898590.60735; 88905110956.24101; 56385143008.46439; 39118682932.26874; 28437171450.62831;
Spain; es; esp; 2022; 312964517253.7084; 101097263498.4594; 92066595475.57222; 54178833544.45388; 37466615089.68568; 28155209645.53729;
Sweden; se; swe; 1975; 61059105664.157; 18221254733.17064; 18692849538.25843; 12619963399.12605; 7031052007.126111; 4493985986.475767;
Sweden; se; swe; 1981; 155740079557.9401; 46740296756.79615; 47060356034.3664; 33855786434.84806; 16863671451.67348; 11219968880.25597;
Sweden; se; swe; 1987; 266788464735.6877; 83164993267.81604; 76174197361.03717; 55776120907.39055; 31443906348.2842; 20229246851.15976;
Sweden; se; swe; 1992; 465740827435.2055; 120829305756.4911; 143854508908.4959; 116634337493.1444; 51323494893.04794; 33099180384.02623;
Sweden; se; swe; 1995; 486205998873.3488; 117820002537.4845; 144311651949.0938; 130771314116.1346; 60426123045.20158; 32876907225.43439;
Sweden; se; swe; 2000; 512727700641.3037; 125802553153.9703; 158981782706.6283; 127056091678.1264; 57159535022.99322; 43727738079.5856;
Sweden; se; swe; 2001; 530880709711.9106; 125589292740.2777; 169630453146.4215; 123817277172.6684; 63641509976.81786; 48202176675.72523;
Sweden; se; swe; 2002; 541221918416.9285; 134807328847.7279; 175618711882.356; 124838371161.2564; 62420164077.22378; 43537342448.36441;
Sweden; se; swe; 2003; 565599671740.8075; 144372972786.3165; 176541165379.9134; 128722679276.74; 69099391466.19122; 46863462831.64633;
Sweden; se; swe; 2004; 586029709269.5088; 147068976266.7528; 188367090199.3228; 134927444122.7996; 69474941781.89035; 46191256898.74323;
Sweden; se; swe; 2005; 587658470553.9557; 146627653791.0984; 191469227260.3183; 134220396582.1334; 67983656643.44332; 47357536276.96228;
Sweden; se; swe; 2006; 595005760254.5057; 150309968161.9533; 190383276364.8481; 131246941283.3; 71662769416.0849; 51402805028.31936;
Sweden; se; swe; 2007; 576767553314.1653; 151924798078.4475; 184746955011.3666; 121177867095.6465; 68538818636.97182; 50379114491.7328;
Sweden; se; swe; 2008; 576409953645.348; 152806779728.5321; 184029112035.2856; 122016459403.111; 64500720841.96904; 53056881636.45032;
Sweden; se; swe; 2009; 616977389331.6857; 153974125562.9777; 201481850587.7323; 135247763428.52; 69608577205.37851; 56665072547.07723;
Sweden; se; swe; 2010; 619944962242.8969; 158610455036.6359; 196086344667.1041; 135169642026.8658; 74033012383.00363; 56045508129.28747;
Sweden; se; swe; 2011; 608994798156.6273; 158972906241.6155; 191179623200.6252; 123179119885.1879; 72130522741.14943; 63532626088.0492;
Sweden; se; swe; 2012; 642838933607.7374; 160825889038.2796; 204271250133.6794; 137696009801.6979; 77014000777.787; 63031783856.29358;
Sweden; se; swe; 2013; 697964578453.7443; 175086811297.1761; 215829740778.1196; 158533826577.6125; 88342729575.996; 60171470224.84008;
Sweden; se; swe; 2014; 709688240353.004; 181140342687.7783; 221170842885.4358; 151648015935.2259; 94420364892.94843; 61308673951.61555;
Sweden; se; swe; 2015; 731259792374.161; 183871802043.64; 226299896250.8971; 165713001674.6237; 89546758264.94687; 65828334140.05339;
Sweden; se; swe; 2016; 751130269217.0491; 191154771845.4348; 230705305843.4497; 172575195582.1819; 87365361522.9713; 69329634423.01126;
Sweden; se; swe; 2017; 780011617681.545; 200584209875.8327; 244667866226.7163; 170027580384.6905; 92854482102.02341; 71877479092.28221;
Sweden; se; swe; 2018; 792513337218.5544; 204573345557.0991; 247388667528.5731; 170842332426.4467; 97252116726.26593; 72456874980.16969;
Sweden; se; swe; 2019; 826509297919.458; 221506853759.7701; 259516577431.2886; 168342936709.3913; 103755902629.8264; 73387027389.18179;
Sweden; se; swe; 2020; 871389281843.3829; 223921562068.4515; 281296404215.7784; 180388300603.3408; 110777779576.7165; 75005235379.09567;
Sweden; se; swe; 2021; 879178628016.6737; 233146522767.3302; 286194831628.5795; 176061623932.9104; 104804716925.8744; 78970932761.97926;
Switzerland; ch; che; 1982; 15967376964.00629; 8135846941.029033; 4435844904.116981; 1267077285.795857; 956962754.8185544; 1171645078.245861;
Switzerland; ch; che; 1992; 32556083467.3696; 13260022668.44279; 8644300993.948833; 4625621741.013433; 3177563556.873972; 2848574507.090572;
Switzerland; ch; che; 2000; 47506717480.87786; 20613968784.28112; 12316106184.70114; 7069952513.914682; 4660093117.2869; 2846596880.694026;
Switzerland; ch; che; 2002; 51179071411.00581; 21972989961.50626; 14041960841.38467; 7877320290.739156; 4382657606.619527; 2904142710.7562;
Switzerland; ch; che; 2004; 56301158334.44765; 25698971721.85632; 14991561108.35857; 8301767959.196213; 4730509834.263985; 2578347710.772572;
Switzerland; ch; che; 2006; 56183959084.41959; 22533263948.61886; 15114924373.56483; 8475899154.486633; 5802643978.745372; 4257227629.003905;
Switzerland; ch; che; 2007; 58241250607.71313; 23394186801.55649; 15121415413.99073; 9215708698.028536; 5473543515.948966; 5036396178.188407;
