cname; iso2; iso3; year; ehipubsocq0; ehipubsocq1; ehipubsocq2; ehipubsocq3; ehipubsocq4; ehipubsocq5;
Peru; pe; per; 2004; 7695193476.917017; 851160282.2969493; 945263481.324499; 1130677397.553157; 1466091150.861306; 2569214757.197285;
Peru; pe; per; 2005; 7790170653.466556; 1332542955.229144; 1271953627.379831; 1315257729.054273; 1525307920.460902; 1938518295.367063;
Peru; pe; per; 2006; 9830409476.266512; 1665507811.39738; 1761534100.045195; 1779230128.250411; 1839164809.394549; 2494111458.985136;
Peru; pe; per; 2007; 10449557236.08391; 1579276325.445634; 1690178536.323507; 1847006448.090183; 1986193654.830547; 3215007651.873952;
Peru; pe; per; 2008; 12853316989.72116; 1941186741.778837; 2283551807.160933; 2271722073.749938; 2724779993.317257; 3467971047.977651;
Peru; pe; per; 2009; 13332468713.57633; 1975281561.793498; 2256220192.710705; 2289898742.621678; 2637838267.020794; 3879413782.78238;
Peru; pe; per; 2010; 15472026071.96255; 2347805462.142417; 2471530252.286135; 2369611827.007891; 2908710204.221434; 5001326415.904293;
Peru; pe; per; 2011; 14514689383.67272; 2465022438.966608; 2523805332.387382; 2418911660.759034; 2940966319.829979; 3840355249.353916;
Peru; pe; per; 2012; 15636477750.70651; 2357859261.398046; 2491015540.646146; 2514597036.194124; 3372459862.733499; 4690957205.662072;
Peru; pe; per; 2013; 18402725319.92454; 3336750939.243087; 3289062210.508235; 2982188851.642642; 3348944335.47127; 5158857767.273372;
Peru; pe; per; 2014; 19261816489.22981; 3021028603.573164; 3612782842.600111; 3443057820.579917; 3770823283.153151; 5182811219.162155;
Peru; pe; per; 2015; 21138873505.79228; 3293715262.83166; 4096916744.625416; 4232479374.367996; 3995965096.642553; 5380997071.412158;
Peru; pe; per; 2016; 24862400600.9679; 3690904680.275306; 4745210787.203628; 5017433097.699385; 4935113659.918722; 6365800916.251138;
Peru; pe; per; 2017; 24205479976.62429; 3642345561.169042; 4395424334.722832; 4832755102.916418; 5135510144.05337; 6001328060.22214;
Peru; pe; per; 2018; 24400257229.81862; 4111046220.870038; 4748842068.453964; 4806128572.518547; 5112486739.641876; 5461922136.810596;
Peru; pe; per; 2019; 25197951530.14976; 3997404963.403472; 4854669163.634578; 4666440462.625783; 5043952378.849227; 6397699172.302474;
Peru; pe; per; 2021; 35810526939.04367; 6489155687.559133; 7261281846.624702; 7249526007.130235; 7899241143.939936; 6706843665.378999;
Poland; pl; pol; 1986; 39534160.73804729; 9363456.694162538; 9335238.694297886; 8352776.883367437; 7295335.776893717; 5187352.689325714;
Poland; pl; pol; 1992; 11335665109.02325; 1235683951.200455; 3298393189.176656; 2852129517.852382; 2252433670.079477; 1697024780.714284;
Poland; pl; pol; 1995; 17107143401.35709; 3921239687.262959; 3582024967.634802; 4772558998.029582; 3041756635.862208; 1789563112.56754;
Poland; pl; pol; 1999; 22312974719.95952; 2758722888.477403; 7389173760.525149; 6410866233.495184; 3725244292.526712; 2028967544.935069;
Poland; pl; pol; 2004; 27320446433.99387; 3471944413.146478; 7916268599.689634; 8984299372.713568; 4689291235.387425; 2258642813.056769;
Poland; pl; pol; 2005; 26532195704.69638; 3243811690.161065; 8050888126.616165; 8786174376.215189; 4415458009.543966; 2035863502.159994;
Poland; pl; pol; 2006; 27930627293.3443; 3211189139.312632; 8725036325.431202; 9354019960.019678; 4499279857.997441; 2141102010.583352;
Poland; pl; pol; 2007; 29371059297.27068; 3330631033.727991; 9634331857.937212; 9644715161.125746; 4350234317.416098; 2411146927.063626;
Poland; pl; pol; 2008; 27314795434.802; 2959667077.324898; 9959362193.689152; 8744804351.688972; 3851958122.747535; 1799003689.351445;
Poland; pl; pol; 2009; 28576967297.84804; 3262455375.274398; 9930552099.077433; 9345893400.780411; 4007626764.770126; 2030439657.945671;
Poland; pl; pol; 2010; 32028158050.49236; 3663058156.253257; 11877848489.67066; 10272173302.1887; 4258459953.470305; 1956618148.909438;
Poland; pl; pol; 2011; 31791770955.10117; 3628053797.080097; 12316068430.07025; 9973508995.938246; 3805488093.965176; 2068651638.047407;
Poland; pl; pol; 2012; 31700149987.2561; 4081523898.418704; 11696160331.64331; 9276716680.088348; 3821118483.575658; 2824630593.530076;
Poland; pl; pol; 2013; 34256879221.3168; 4084753196.894627; 13777810235.31531; 9846907516.546078; 3951156263.742496; 2596252008.818291;
Poland; pl; pol; 2014; 33833623324.34705; 4516363538.856319; 13177931079.41192; 9886701339.809052; 3836805538.885823; 2415821827.383939;
Poland; pl; pol; 2015; 33913218345.42505; 4482763887.564522; 13197015981.47612; 9791136197.101051; 3909751758.629537; 2532550520.653824;
Poland; pl; pol; 2016; 81098134309.15195; 8326645619.100997; 26146676014.12475; 26198129329.25127; 12105427352.50817; 8321255994.166752;
Poland; pl; pol; 2017; 109564553505.1961; 9071931345.959246; 33508242212.37523; 35426260445.349; 17588795336.30409; 13969324165.20852;
Poland; pl; pol; 2018; 108044220317.6497; 10015493302.82955; 29724786802.77043; 37549055953.27802; 17434522055.66251; 13320362203.10919;
Poland; pl; pol; 2019; 125023410683.1371; 10108956470.66007; 29779929656.14865; 40283771619.38303; 24211981999.04972; 20638770937.8956;
Poland; pl; pol; 2020; 151014174061.5318; 12255128226.57666; 29943368589.74304; 47976542448.29588; 33437685095.90656; 27401449701.00967;
Romania; ro; rou; 1995; 227031915.7959785; 32750136.59959542; 57253722.42321696; 57479463.9629299; 43883112.41754527; 35665480.39269094;
Romania; ro; rou; 1997; 923691176.7090689; 127102751.7745853; 214646149.0105875; 230734928.0698807; 191026097.5919954; 160181250.2620201;
Romania; ro; rou; 2006; 12978496690.5878; 2059767649.701625; 2477657013.107104; 4268290041.928169; 2711853973.233834; 1460436873.929973;
Romania; ro; rou; 2007; 13673787856.47933; 1804325781.710358; 2480602633.1282; 4350222484.941998; 3366434675.083987; 1662911538.163513;
Romania; ro; rou; 2008; 15990978291.07409; 2148200541.885016; 2613930641.435584; 4975001434.359953; 4104595978.214661; 2067133265.441556;
Romania; ro; rou; 2009; 17301044599.83803; 2503810829.302477; 2760324646.269114; 5026376086.238792; 4274052894.17787; 2721054366.436636;
Romania; ro; rou; 2010; 18375102302.8279; 2639258088.006339; 3050250306.42977; 6017538826.283398; 3752910645.548759; 2902604247.844039;
Romania; ro; rou; 2011; 15158410531.87991; 2113533423.702827; 2805461976.01873; 4726122977.538869; 3073006576.320954; 2334946645.760229;
Romania; ro; rou; 2012; 14286164999.48529; 2256670497.541173; 2470763362.416524; 4454976408.975468; 2954511002.349439; 2123680685.077016;
Romania; ro; rou; 2013; 13703429646.52257; 2173077958.225715; 2648512346.061844; 4081228403.798846; 3098403863.237148; 1656535346.802504;
Romania; ro; rou; 2014; 13280770169.90726; 2549751774.360017; 2354108061.00767; 3797038739.867778; 2888129364.435178; 1676933403.595126;
Romania; ro; rou; 2015; 18559364344.55305; 2523525317.398167; 3211675822.729733; 6195578801.24789; 4210758495.07619; 2337547229.057039;
Romania; ro; rou; 2017; 19786953231.33886; 2452613642.331005; 4126626496.443737; 6370637900.319639; 3971481611.290726; 2865593580.953752;
Romania; ro; rou; 2016; 19300069215.79419; 2245289535.746691; 3949611402.770578; 6609892167.323012; 3942830264.255153; 2490621609.701799;
Romania; ro; rou; 2018; 20579424206.08301; 2461977415.160698; 3672748684.608318; 6889424650.983049; 4634128385.224605; 2921145070.106336;
Romania; ro; rou; 2019; 23420331031.40849; 2717769478.538101; 4639020502.021518; 7081957910.577855; 5792883599.967601; 3188699540.303412;
Romania; ro; rou; 2020; 38973161971.31285; 3232204019.752311; 5352162409.42324; 12244501722.85585; 10629999089.88628; 7514294729.395167;
Romania; ro; rou; 2021; 32728698097.12812; 3842595841.112947; 4063507140.855342; 12421125503.94586; 8339828189.730174; 4061641421.483804;
Russia; ru; rus; 2000; 79562231430.99878; 7161805571.292344; 13315458441.21204; 22584636540.41689; 17638202055.27174; 18484517212.25203;
Russia; ru; rus; 2004; 221961717584.0695; 32150929349.67939; 41396165948.25282; 43331928294.50808; 55495504687.89568; 36792574796.41792;
Russia; ru; rus; 2007; 503888270897.7167; 90713791035.4407; 114724871171.4006; 101593094751.8033; 70111861455.0946; 67728642670.99802;
Russia; ru; rus; 2010; 890307080341.2975; 160791083522.8038; 205811975242.0585; 160112665688.8182; 161660065790.3271; 138654156471.1211;
Russia; ru; rus; 2011; 2859492482086.006; 625303100953.9332; 726172621430.0128; 519278982526.7121; 506361750885.8152; 482376026289.5323;
Russia; ru; rus; 2013; 3586681622742.541; 764622556587.6979; 1036711661470.836; 746350941854.0623; 506594927433.5838; 532401535396.3602;
Russia; ru; rus; 2014; 3663170500912.661; 830067343088.7983; 1118061360440.941; 706297319238.1837; 532526653698.9752; 476217824445.7621;
Russia; ru; rus; 2015; 3596659041686.203; 852493563974.5538; 1071329809501.789; 652035519380.4441; 558894315380.7279; 461905833448.6882;
Russia; ru; rus; 2016; 4076448404751.394; 834635654714.8317; 1231532161420.41; 854589090787.541; 647828500157.5232; 507862997671.0875;
Russia; ru; rus; 2017; 4186151163803.628; 858417345703.9916; 1318277502721.046; 859108482329.3634; 625058364927.304; 525289468121.924;
Russia; ru; rus; 2018; 4371420087520.924; 885444556231.5552; 1323357038691.606; 921193318756.6554; 639542509693.6548; 601882664147.4532;
Russia; ru; rus; 2019; 4268132993701.592; 919260055306.2181; 1303066845675.38; 863990870088.1423; 638211965398.9352; 543603257232.916;
Russia; ru; rus; 2020; 5805121679180.265; 1102392273476.429; 1978089637503.172; 1220096547263.608; 868415114456.8741; 636128106480.182;
Russia; ru; rus; 2021; 5806968572539.503; 1231178145364.662; 1971122919933.575; 1152752448979.493; 815363574257.5341; 636551484004.2378;
