cname; iso2; iso3; year; edhiq0; edhiq1; edhiq2; edhiq3; edhiq4; edhiq5;
Sweden; se; swe; 1987; 653648494685.172; 66007465949.79816; 77201038229.05783; 131196752200.7991; 156857877980.7398; 222385360324.7771;
Sweden; se; swe; 1992; 1137375611794.17; 96219527048.93796; 138174324176.0654; 235333080210.0826; 267160443227.3794; 400488237131.7043;
Sweden; se; swe; 1995; 1153087000669.993; 102142717854.827; 144030685807.4011; 237377420805.469; 274621528237.7064; 394914647964.5897;
Sweden; se; swe; 2000; 1489395969089.278; 105851777895.619; 168326104819.987; 308527083553.1572; 337358973600.3854; 569332029220.1298;
Sweden; se; swe; 2001; 1572761887329.763; 107770277891.1996; 185314632420.0074; 323866779124.9005; 374314230456.2321; 581495967437.4236;
Sweden; se; swe; 2002; 1629182934993.07; 116997641669.7277; 195527851878.1675; 325508455129.5841; 384224679345.8945; 606924306969.6965;
Sweden; se; swe; 2003; 1684996960055.456; 120189940453.2769; 199511228372.5335; 340117558618.3846; 403992158957.2192; 621186073654.0414;
Sweden; se; swe; 2004; 1723153300586.502; 122923029863.6383; 209431812379.3212; 349014948218.8287; 412353606924.3127; 629429903200.4011;
Sweden; se; swe; 2005; 1781320391966.564; 125321942841.8251; 219540563292.1412; 360091808500.275; 420484891642.1818; 655881185690.1415;
Sweden; se; swe; 2006; 1891703380425.568; 129567741120.4873; 225010359706.0934; 372278990531.9773; 445257822128.1444; 719588466938.8657;
Sweden; se; swe; 2007; 2060602685405.263; 132711903556.5532; 236719786898.43; 398895364685.377; 490080866862.6317; 802194763402.2708;
Sweden; se; swe; 2008; 2151234360395.222; 132391412610.7894; 245527718121.5468; 424780360725.4695; 508727806682.3405; 839807062255.0758;
Sweden; se; swe; 2009; 2215481321221.868; 134672886181.9921; 248670809252.2172; 436371538860.2576; 521073321761.1953; 874692765166.2061;
Sweden; se; swe; 2010; 2286968791006.597; 141870708801.905; 250234183981.8692; 443049856409.4451; 548363805013.2087; 903450236800.1688;
Sweden; se; swe; 2011; 2450438988739.253; 146376467504.1958; 270327696153.9229; 462664127971.4541; 576932105147.0807; 994138591962.5997;
Sweden; se; swe; 2012; 2546845076783.644; 149596855589.6728; 286213363311.796; 483858326414.8904; 592567638174.8699; 1034608893292.415;
Sweden; se; swe; 2013; 2598227343339.777; 161293455709.8742; 285892274290.205; 489456326834.4519; 632638916034.3601; 1028946370470.885;
Sweden; se; swe; 2014; 2689502245125.79; 166357988019.8284; 290901474232.4272; 495721118180.8945; 671667226860.4189; 1064854437832.221;
Sweden; se; swe; 2015; 2830772647925.642; 170229600048.5519; 299433367654.9371; 521212120950.9536; 675758576987.1348; 1164138982284.064;
Sweden; se; swe; 2016; 2999652570114.588; 177129163765.3061; 318378286593.2205; 550788050658.6327; 692765060181.9823; 1260592008915.447;
Sweden; se; swe; 2017; 3078433320568.933; 185404325997.5326; 338333136990.8906; 561106993772.7853; 721035056222.6622; 1272553807585.062;
Sweden; se; swe; 2018; 3149040826589.481; 192922318229.5184; 361193880127.0279; 576257402314.4504; 718765341632.423; 1299901884286.061;
Sweden; se; swe; 2019; 3274538140478.603; 205785143853.9098; 375685821418.4376; 584430169439.8053; 775618937618.5155; 1333018068147.934;
Sweden; se; swe; 2020; 3362471808855.711; 211127879038.593; 401227491815.8919; 613883958475.8488; 786289685060.4939; 1349942794464.884;
Sweden; se; swe; 2021; 3546048312728.995; 220719841546.6075; 425871651216.7184; 632274710545.0817; 813038385095.5527; 1454143724325.034;
Switzerland; ch; che; 1982; 206777071299.5873; 10949696535.14571; 27537838567.13745; 38046864571.57251; 43567196108.65382; 86675475517.0778;
Switzerland; ch; che; 1992; 310790408397.496; 14772611085.0342; 42072873410.17216; 61681262654.12649; 72207243398.7207; 120056417849.4425;
Switzerland; ch; che; 2000; 341305546854.8903; 25389484360.2555; 52553961906.48146; 69420180216.31987; 75860377576.26489; 118081542795.5686;
Switzerland; ch; che; 2002; 364443324686.5062; 25960393233.74193; 57969351473.6414; 72746653273.62486; 83313481256.97545; 124453445448.5225;
Switzerland; ch; che; 2004; 354806773507.2722; 27695781819.53435; 56321776830.31393; 71872908268.70256; 79276869874.81151; 119639436713.9098;
Switzerland; ch; che; 2006; 409132918573.8446; 27383088993.72317; 59382436176.39569; 75774058604.88255; 93932470274.46478; 152660864524.3784;
Switzerland; ch; che; 2007; 428313469654.3659; 27375151843.49432; 58724334356.15273; 79336569144.58264; 96084686553.42262; 166792727756.7136;
